date,state,contact,age,gender,category_level2,category_level3,amount,no_of_reports
2023-05-01,QLD,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,1290.0,3
2023-06-01,WA,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,28500.0,4
2023-08-01,VIC,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,52692.0,8
2023-12-01,VIC,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,20000.0,2
2023-01-01,NSW,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,160734.0,7
2023-01-01,NSW,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,26346.0,5
2023-02-01,NSW,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,14450.0,6
2023-02-01,NSW,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,99000.0,7
2023-07-01,NSW,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,43600.0,3
2023-12-01,NSW,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,141434.0,2
2023-03-01,VIC,Social media/Online forums,25 - 34,F,Unexpected winnings,"Travel, prizes and lottery scams",140.0,2
2023-06-01,NSW,Social media/Online forums,25 - 34,M,Unexpected winnings,"Travel, prizes and lottery scams",480.0,3
2023-08-01,VIC,Social media/Online forums,25 - 34,M,Unexpected winnings,"Travel, prizes and lottery scams",1000.0,3
2023-03-01,NSW,Social media/Online forums,25 - 34,M,Investment scams,Betting and sports investment scams,2000.0,2
2023-05-01,WA,Social media/Online forums,25 - 34,M,Other,Other scams,400.0,3
2023-02-01,OTHERS,Social media/Online forums,25 - 34,F,Other,Other scams,150.0,2
2023-08-01,OTHERS,Social media/Online forums,25 - 34,M,Other,Other scams,356.0,2
2023-03-01,QLD,Social media/Online forums,25 - 34,M,Other,Other scams,310.0,3
2023-08-01,NSW,Social media/Online forums,25 - 34,M,Other,Other scams,100.0,3
2023-03-01,NSW,Social media/Online forums,25 - 34,F,Other,Other scams,540.0,2
2023-05-01,NSW,Social media/Online forums,25 - 34,F,Other,Other scams,400.0,4
2023-06-01,NSW,Social media/Online forums,25 - 34,F,Other,Other scams,650.0,7
2023-07-01,NSW,Social media/Online forums,25 - 34,F,Other,Other scams,210.0,3
2023-09-01,NSW,Social media/Online forums,25 - 34,F,Other,Other scams,300.0,4
2023-10-01,NSW,Social media/Online forums,25 - 34,F,Other,Other scams,52.0,4
2023-11-01,NSW,Social media/Online forums,25 - 34,F,Other,Other scams,600.0,4
2023-01-01,OTHERS,Social media/Online forums,25 - 34,F,Investment scams,Investment scams,1246.0,4
2023-02-01,NSW,Social media/Online forums,25 - 34,F,Investment scams,Investment scams,93000.0,4
2023-05-01,OTHERS,Social media/Online forums,25 - 34,F,Investment scams,Investment scams,700.0,2
2023-06-01,QLD,Social media/Online forums,25 - 34,F,Investment scams,Investment scams,3775.0,3
2023-07-01,OTHERS,Social media/Online forums,25 - 34,F,Investment scams,Investment scams,200.0,2
2023-08-01,NSW,Social media/Online forums,25 - 34,F,Investment scams,Investment scams,17000.0,2
2023-06-01,WA,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,1000.0,2
2023-03-01,QLD,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,95544.0,3
2023-06-01,QLD,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,45000.0,3
2023-04-01,VIC,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,8150.0,3
2023-05-01,VIC,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,12700.0,3
2023-07-01,VIC,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,15000.0,2
2023-08-01,VIC,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,3116.0,4
2023-10-01,VIC,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,12000.0,2
2023-09-01,NSW,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,50000.0,3
2023-06-01,OTHERS,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,725.0,4
2023-10-01,OTHERS,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,82542.0,4
2023-12-01,OTHERS,Social media/Online forums,25 - 34,M,Investment scams,Investment scams,35.0,4
2023-01-01,NSW,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,600.0,2
2023-04-01,NSW,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,22000.0,2
2023-08-01,WA,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,100.0,2
2023-03-01,OTHERS,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,200.0,3
2023-04-01,OTHERS,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,3700.0,2
2023-04-01,QLD,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,1000.0,2
2023-11-01,QLD,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,314.0,2
2023-05-01,VIC,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,100.0,2
2023-06-01,VIC,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,8000.0,3
